node_id,x,y,is_counter,has_traffic_light
90215325,18.42,43.85,False,False
90215988,18.42,43.85,False,False
90215989,18.42,43.85,False,False
90218314,18.42,43.85,False,False
90218744,18.42,43.86,False,False
90218748,18.43,43.86,False,False
90220636,18.41,43.85,False,False
90230982,18.41,43.86,False,False
90231354,18.41,43.86,False,False
90232012,18.41,43.86,False,False
90232115,18.41,43.86,False,False
90233169,18.41,43.87,False,False
90233834,18.41,43.86,False,False
90234034,18.41,43.86,False,False
90234533,18.41,43.86,False,False
90234803,18.41,43.86,False,False
90235318,18.42,43.86,False,False
90235320,18.41,43.86,False,False
90235462,18.41,43.86,False,False
90236169,18.41,43.87,False,False
90236906,18.41,43.87,False,False
90238323,18.41,43.87,False,False
90309006,18.39,43.86,False,False
90309009,18.39,43.86,False,False
90309020,18.39,43.86,False,False
90309025,18.39,43.86,False,False
90309026,18.39,43.86,False,False
90309030,18.39,43.86,False,False
90309043,18.38,43.86,False,False
90309048,18.38,43.86,False,False
90309051,18.38,43.86,False,False
90309056,18.38,43.86,False,False
90309060,18.38,43.86,False,False
90309086,18.38,43.87,False,False
90309131,18.39,43.87,False,False
90310545,18.38,43.85,False,True
90310898,18.39,43.85,False,True
90311903,18.39,43.85,False,True
90312674,18.4,43.85,False,False
90312815,18.4,43.85,False,False
93663935,18.39,43.86,False,False
93663944,18.39,43.86,False,False
93692703,18.4,43.85,False,False
93693054,18.4,43.85,False,False
93693055,18.4,43.85,False,False
93693058,18.4,43.85,False,True
93719896,18.39,43.88,False,False
93731105,18.38,43.86,False,False
93731118,18.38,43.86,False,False
93731120,18.38,43.86,False,False
93731127,18.39,43.86,False,False
93731215,18.38,43.86,False,False
93731278,18.38,43.86,False,False
93731379,18.37,43.85,True,False
93731945,18.37,43.85,False,False
93736189,18.42,43.85,False,False
93736197,18.41,43.85,False,False
93736208,18.41,43.85,False,False
93736213,18.41,43.85,False,False
93736218,18.41,43.85,False,False
93736224,18.41,43.85,False,False
93736232,18.4,43.85,False,False
93736233,18.4,43.85,False,False
93736238,18.4,43.85,False,False
93739029,18.41,43.85,False,False
93744697,18.44,43.86,False,False
93744705,18.44,43.86,False,False
93746054,18.44,43.86,False,False
93748033,18.43,43.86,False,False
93756503,18.44,43.86,False,False
93768087,18.44,43.87,False,False
93770129,18.43,43.87,False,False
93771678,18.44,43.87,False,False
93775484,18.44,43.87,False,False
93775495,18.44,43.87,False,False
93775506,18.45,43.87,False,False
93775523,18.45,43.88,False,False
93775529,18.45,43.88,False,False
93775532,18.44,43.87,False,False
93777160,18.45,43.87,False,False
93777162,18.45,43.87,False,False
93777167,18.45,43.87,False,False
93777616,18.44,43.87,False,False
93810391,18.38,43.84,False,False
93810395,18.38,43.85,False,False
93810396,18.38,43.85,False,False
93810398,18.38,43.85,False,False
93810858,18.38,43.85,False,False
93812208,18.38,43.85,False,False
93812216,18.39,43.85,False,False
93812222,18.39,43.84,False,False
93812223,18.39,43.84,False,False
93812227,18.39,43.84,False,False
93812230,18.39,43.84,False,False
93812231,18.39,43.84,False,False
93812802,18.38,43.85,False,False
93812803,18.38,43.85,False,False
93812806,18.38,43.85,False,False
93813609,18.38,43.85,False,False
93813613,18.38,43.84,False,False
93813616,18.38,43.84,False,False
93815152,18.38,43.84,False,False
93815154,18.38,43.84,False,False
93815157,18.39,43.84,False,False
93815166,18.39,43.84,False,False
93815179,18.39,43.84,False,False
93815187,18.39,43.85,False,False
93815188,18.39,43.85,False,False
93816868,18.4,43.84,False,False
93818565,18.4,43.84,False,False
93924527,18.4,43.84,False,False
93924531,18.41,43.84,False,False
93924532,18.41,43.84,False,False
105801897,18.35,43.85,False,False
105801900,18.34,43.85,False,False
105801901,18.34,43.86,False,False
105806695,18.35,43.86,False,False
105806698,18.34,43.86,False,False
105806700,18.34,43.86,False,False
105810194,18.35,43.86,False,False
105812535,18.35,43.85,False,False
105812543,18.35,43.85,False,False
105812548,18.35,43.85,False,False
105813212,18.35,43.85,False,False
105814672,18.34,43.86,False,False
105814816,18.33,43.85,True,False
105815576,18.33,43.85,False,False
105816978,18.32,43.86,False,False
105817579,18.33,43.86,False,False
105817583,18.33,43.86,False,False
105817739,18.32,43.86,False,False
146223369,18.39,43.9,False,False
146223391,18.4,43.9,False,False
146223410,18.4,43.89,False,False
146253773,18.34,43.83,False,False
146253774,18.34,43.83,False,False
146253897,18.35,43.83,False,True
146254068,18.35,43.83,False,False
146254283,18.35,43.83,False,False
146257203,18.34,43.84,False,True
146257501,18.34,43.84,False,False
146257510,18.35,43.84,False,False
146257726,18.34,43.84,False,False
146260777,18.35,43.84,False,False
146260780,18.35,43.84,False,False
146264973,18.37,43.84,False,False
146264977,18.37,43.84,False,False
146264982,18.37,43.84,False,False
146264992,18.37,43.84,False,False
146264995,18.37,43.84,False,False
146265003,18.36,43.84,False,False
